HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gid,Input.number,Input.side,Answer.TP,Answer.distro,Answer.long,Answer.medium,Answer.player,Answer.short,Approve,Reject
3B9XR6P1WDUJTNIUZFI67NNIGSHBJN,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:34 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:34 GMT 2014,,,3RJSC4XJ10TDPLYT20MPBG3DJAN050,ARXQ6JB64AUJE,Approved,Mon Mar 31 13:29:00 GMT 2014,Mon Mar 31 13:35:52 GMT 2014,Tue Apr 01 01:35:52 GMT 2014,2014/04/01 01:37:34 +0000,,,412,98% (40/41),98% (40/41),98% (40/41),2011767,First,Home (left), 93:07,"0,0,6,2,2,3,0,1,0,0,2,0,0,0","7,10","7,9",1,"2,2",,
3FJ2RVH25Y50ZY5PUAYIH06BQHS92O,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:34 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:34 GMT 2014,,,3GS6S824SQWAN05KZ7BWCSC3BZTWND,A35FOJ3K98V4DL,Approved,Mon Mar 31 08:41:31 GMT 2014,Mon Mar 31 08:43:51 GMT 2014,Mon Mar 31 13:43:51 PDT 2014,Mon Mar 31 04:51:16 PDT 2014,,,140,96% (25/26),96% (25/26),96% (25/26),2011767,Second,Home (left),83:53:00,"2,0,0,10,0,3,7,3,0,14,9,0,1,1","2,2","26,30",3,"22,22",,
33TGB4G0LOGKKTH0G5OSYQ1JXXVXTM,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:33 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:33 GMT 2014,,,3YHH42UU5BERRA1EUN2WS5ZA50T0LU,ARXQ6JB64AUJE,Approved,Mon Mar 31 14:32:32 GMT 2014,Mon Mar 31 14:35:52 GMT 2014,Tue Apr 01 02:35:52 GMT 2014,2014/04/01 02:37:33 +0000,,,200,98% (40/41),98% (40/41),98% (40/41),2011767,Third,Home (left),93:07:00,"3,2,0,0,10,8,12,1,3,2,7,0,0,0","6,8","38,41",5,"4,5",,
3Y40HMYLL0HZK6WPGAE23MNLGB2XUD,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:33 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:33 GMT 2014,,,3RGU30DZTA7IZYKLG7DHANTV4EKMJK,ARXQ6JB64AUJE,Approved,Mon Mar 31 13:51:39 GMT 2014,Mon Mar 31 13:55:42 GMT 2014,Tue Apr 01 01:55:42 GMT 2014,2014/04/01 01:57:34 +0000,,,243,98% (40/41),98% (40/41),98% (40/41),2011767,Fourth,Home (left),83:53:00,"0,4,3,0,0,2,8,4,5,5,3,0,0,0","3,7","20,25",10,"11,16",,
3JU8CV4BRKBZYSA1YXSCA39TWQ6OP4,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:33 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:33 GMT 2014,,,3IRIK4HM3AJT2HTNJZPEYNJEOTLC69,A35FOJ3K98V4DL,Approved,Mon Mar 31 08:25:12 GMT 2014,Mon Mar 31 08:27:02 GMT 2014,Mon Mar 31 13:27:02 PDT 2014,Mon Mar 31 04:51:16 PDT 2014,,,110,96% (25/26),96% (25/26),96% (25/26),2011767,Fifth,Home (left),93:07:00,"1,1,4,1,0,1,7,1,12,1,2,1,1,0","1,5","23,31",6,"9,10",,
39O6Z4JLX1WZXLLPL0O7Z8P4UIBXV2,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:34 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:34 GMT 2014,,,3N8OEVH1FRPK0CWU90KZANZMY7YOO7,A35FOJ3K98V4DL,Approved,Mon Mar 31 08:05:39 GMT 2014,Mon Mar 31 08:12:12 GMT 2014,Mon Mar 31 13:12:12 PDT 2014,Mon Mar 31 04:51:15 PDT 2014,,,393,96% (25/26),96% (25/26),96% (25/26),2011767,Sixth,Home (left),93:07:00,"6,4,12,1,2,0,10,0,0,3,9,0,0,0","3,5","37,39",15,"7,7",,
3TUOHPJXYGWCCALUBAT3LA8I1RDXWC,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:34 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:34 GMT 2014,,,3R9WASFE2ZF2T3X8C6CQ3RXCQBNFZT,ARXQ6JB64AUJE,Approved,Mon Mar 31 14:10:44 GMT 2014,Mon Mar 31 14:14:09 GMT 2014,Tue Apr 01 02:14:09 GMT 2014,2014/04/01 02:17:34 +0000,,,205,98% (40/41),98% (40/41),98% (40/41),2011767,Seventh,Home (left),93:07:00,"1,8,5,13,7,4,0,6,7,11,13,0,1,3","6,8","54,60",16,"19,19",,
3KQC8JMJGBRIZMJRWM0FDR9RF80H3X,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:34 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:34 GMT 2014,,,3F1567XTNW4KE154MOTL22ZXIA99Q3,ARXQ6JB64AUJE,Approved,Mon Mar 31 14:29:24 GMT 2014,Mon Mar 31 14:32:31 GMT 2014,Tue Apr 01 02:32:31 GMT 2014,2014/04/01 02:32:34 +0000,,,187,98% (40/41),98% (40/41),98% (40/41),2011767,Tenth,Home (left),70:10:00,"0,4,2,4,1,4,4,3,1,0,13,0,0,0","1,2","17,24",26,"18,24",,
3FO95NVK5BZZ8XI9I6DAZ3J9UXWSRW,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:34 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:34 GMT 2014,,,3P59JYT76LJM6XCXIJ81XK26WAL2T3,ARXQ6JB64AUJE,Approved,Mon Mar 31 08:57:05 GMT 2014,Mon Mar 31 09:04:27 GMT 2014,Mon Mar 31 14:04:27 PDT 2014,Mon Mar 31 04:48:33 PDT 2014,,,442,98% (40/41),98% (40/41),98% (40/41),2011767,Eleventh,Home (left),79:31:00,"0,11,6,7, 3,7,13,4,4,9,0,0,0,0","5,7","42,48",31,"17,18",,
3BS6ERDL9260KP17TSFNT96DX78D6P,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Mon Mar 31 02:09:34 GMT 2014,1,BatchId:1475106;,3600,43200,Mon Apr 07 02:09:34 GMT 2014,,,3QY7M81QH7LUPFJGUMB4SKWIODEK7T,A35FOJ3K98V4DL,Approved,Mon Mar 31 08:15:41 GMT 2014,Mon Mar 31 08:18:21 GMT 2014,Mon Mar 31 13:18:21 PDT 2014,Mon Mar 31 04:51:14 PDT 2014,,,160,96% (25/26),96% (25/26),96% (25/26),2011767,Second,Away (right),93:07:00,"0,0,2,3,2,3,4,1,5,2,5,2,1,3","3,4","27,36",3,"3,4",,
